tti,rnti,weight,metrics
2190140,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190140,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 5.0, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190162,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190162,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 5.0, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190163,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190163,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 5.0, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190164,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190164,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 5.0, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190165,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190165,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 5.0, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190166,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190166,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 5.0, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190170,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190170,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 5.0, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190171,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190171,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 5.0, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190172,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190172,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 5.0, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190173,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190173,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 5.0, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190174,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
